FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,color_v2,,
North Central Unit,39.986877,-75.164898,122,Arkansas,Calico Rock,,,,,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Delta Regional Unit,5.448632,5.771322,123,Arkansas,Dermott,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Fayetteville,35.089222,-79.020171,124,Arkansas,Fayetteville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Varner SuperMax Unit,34.04237,-91.606715,125,Arkansas,Grady,,,,,,,9999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Cummins Unit,-34.264749,135.72295,126,Arkansas,Grady,,,,,,,9999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Varner Unit,34.04237,-91.606715,127,Arkansas,Grady,,,,,,,9999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Ouachita River Unit,32.443382,-92.159758,128,Arkansas,Malvern,,,33,,,,9999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
 Eastern Arkansas Regional,-32.19228,26.501313,129,Arkansas,Marianna,,,"NO LARGER THAN 
9""X11"" AND 2"" THICK",,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Grimes Unit,30.56265,-95.985523,130,Arkansas,Newport,,,,,,,9999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
McPherson Unit                     302 Corrections Dr,35.625992,-91.193652,131,Arkansas,Newport,,,No Compostion Books,,,,9999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Green County Jail,42.60001,-89.64179,132,Arkansas,Paragould,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Perryville Jail,37.276237,-85.896736,133,Arkansas,Perryville,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Pine Bluff Unit,43.058962,-89.659054,134,Arkansas,Pine Bluff,890 Freeline Dr.,,,,,890 freeline dr.,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Pine Bluff / Diagnostic Unit (RLWCF),43.058962,-89.659054,135,Arkansas,Pine Bluff,7206 W7th Ave,,,,,7206 w7th ave,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Barbara Ester Unit,14.918727,-88.18186,136,Arkansas,Pine Bluff,7500 Corrections Drive,,,,,7500 corrections drive,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Tucker Maximum Security Unit,46.987251,28.858186,137,Arkansas,Tucker,,,,,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Tucker Unit,39.112241,-79.570178,138,Arkansas,Tucker,,,,,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Wrightsville Unit,32.727242,-82.719353,139,Arkansas,Wrightsville,,,,,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Wrightsville Hawkins Unit for Males,34.607486,-92.191606,140,Arkansas,Wrightsville,,,,,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Wrightsville Hawkins Unit for Females,34.607486,-92.191606,141,Arkansas,Wrightsville,,,,,,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
